_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65ad122c908c90eb445a85b9||83.96|92.98|87.15|74.67|105,1,1,0|time|15|-1|3|15.01|0|2.87|false|false|english|none|normal|false|false|false||1705841196000
65ad1217908c90eb445a8516||83.17|97.27|87.17|74.77|104,1,0,0|time|15|-1|8|15.01|0|15.97|false|false|english|none|normal|false|false|false||1705841175000
65ad11ef908c90eb445a83a8||76.75|97.96|76.75|73.87|96,0,0,0|time|15|-1|2|15.01|0|6.95|false|false|english|none|normal|false|false|false||1705841135000
65ad11d8908c90eb445a82ed||72.78|96.97|76.77|76.66|91,0,0,1|time|15|-1|66|15.01|0|202.39|false|false|english|none|normal|false|false|false||1705841112000
65acada4908c90eb44578656||73.58|95|77.58|73.92|92,1,0,0|time|15|-1|3|15|0|5.82|false|false|english|none|normal|false|false|false||1705815460000
65acad8b908c90eb445785a9||72|96.77|72|71.63|90,0,0,0|time|15|-1|3|15|0|8.85|false|false|english|none|normal|false|false|false||1705815435000
65acad6f908c90eb445784f0||63.17|85.44|79.17|76.9|79,8,1,1|time|15|-1|24|15.01|0|65.32|false|false|english|none|normal|false|false|false||1705815407000
65abe81b908c90eb4451db8b||75.93|97.09|81.53|81.68|95,1,0,0|time|15|-1|6|15.01|0|20.88|false|false|english|none|normal|false|false|false||1705764891000
65abe7f1908c90eb4451da12||71.94|96.84|74.34|81.17|90,1,0,0|time|15|-1|1|15.01|0|3.46|false|false|english|none|normal|false|false|false||1705764849000
65abe7db908c90eb4451d950||73.54|97.89|73.54|74.43|92,0,0,0|time|15|-1|20|15.01|0|60.68|false|false|english|none|normal|false|false|false||1705764827000
65abe763908c90eb4451d4e3||70.35|96.88|76.75|76.62|88,2,0,0|time|15|-1|2|15.01|0|9.34|false|false|english|none|normal|false|false|false||1705764707000
65abe747908c90eb4451d3e7||71.16|97.8|71.16|78.75|89,0,0,0|time|15|-1|16|15.01|0|37.03|false|false|english|none|normal|false|false|false||1705764679000
65abe6f4908c90eb4451d0fd||75.96|98.96|75.96|69.38|95,0,0,0|time|15|-1|6|15.01|0|23.45|false|false|english|none|normal|false|false|false||1705764596000
65956d0ea65b7d25a1a55ecc||75.93|97.94|75.93|78.23|95,0,0,0|time|15|-1|3|15.01|0|2.17|false|false|english|none|normal|false|false|false||1704291598000
65956cf9a65b7d25a1a55ddc||73.57|90.38|79.16|75.04|92,5,1,0|time|15|-1|32|15.01|0|127.37|false|false|english|none|normal|false|false|false||1704291577000
65955eeea65b7d25a1a4b998||68.78|93.48|68.78|66.93|86,0,0,0|time|15|-1|16|15.01|0|37|false|false|english|none|normal|false|false|false||1704287982000
65955eaaa65b7d25a1a4b6c7||72|94.06|78.39|69.58|90,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1704287914000
65955e99a65b7d25a1a4b612||71.97|96.77|71.97|67.11|90,0,0,0|time|15|-1|11|15.01|0|38.24|false|false|english|none|normal|false|false|false||1704287897000
65955e59a65b7d25a1a4b352||76.75|98.97|76.75|74.83|96,0,0,0|time|15|-1|34|15.01|0|97.45|false|false|english|none|normal|false|false|false||1704287833000
65955c3ea65b7d25a1a49c37||66.38|92.47|70.38|69.86|83,2,0,0|time|15|-1|7|15|0|21.33|false|false|english|none|normal|false|false|false||1704287294000
65955c13a65b7d25a1a49a75||73.59|95.05|79.18|76.07|92,2,0,0|time|15|-1|19|15|0|64.62|false|false|english|none|normal|false|false|false||1704287251000
65955bb3a65b7d25a1a49695||76.74|95.19|83.14|73.42|96,3,1,0|time|15|-1|33|15.01|0|118.26|false|false|english|none|normal|false|false|false||1704287155000
65911002a65b7d25a1844cfd||79.17|98.08|83.17|76.76|99,1,0,0|time|15|-1|6|15.01|0|22.05|false|false|english|none|normal|false|false|false||1704005634000
65910fd6a65b7d25a1844bb5||75.97|92.23|75.97|80.2|95,0,0,0|time|15|-1|12|15.01|0|22.29|false|false|english|none|normal|false|false|false||1704005590000
65910f49a65b7d25a1844780||79.96|95.33|83.96|76.62|100,2,0,0|time|15|-1|29|15.01|0|67.32|false|false|english|none|normal|false|false|false||1704005449000
65910edba65b7d25a184446f||86.39|98.26|90.39|78.88|108,1,0,0|time|15|-1|3|15|0|4.84|false|false|english|none|normal|false|false|false||1704005339000
659102f1a65b7d25a183f107||65.54|96.51|67.14|75.78|82,1,0,0|time|15|-1|74|15.01|0|211.89|false|false|english|none|normal|false|false|false||1704002289000
65910089a65b7d25a183e00a||80.76|99.02|80.76|75.28|101,0,0,0|time|15|-1|19|15.01|0|86.12|false|false|english|none|normal|false|false|false||1704001673000
65902beda65b7d25a17e09d6||87.92|100|87.92|80.29|110,0,0,0|time|15|-1|11|15.01|0|29.27|false|false|english|none|normal|false|false|false||1703947245000
